Marca temporal,Correo,Nom i cognom,Data detecció de la incidència,Hora detecció de la incidència,Ubicació equip afectat,"Tipus de equip (PC, impressora, projector, televisor, switch)",Com s’ha detectat el problema?,S’ha intentat alguna solució prèvia?,Grau de gravetat
12/11/2025 9:05:51,oriol.puig@gmail.com,Oriol Puig,24/10/2025,16:15:00,Aula 101,Impressora,No arrenca l'equip,No,Baixa (puc treballar tranquilament)
12/11/2025 9:07:24,emma.costa@gmail.com,Emma Costa,11/10/2025,18:00:00,Laboratori informàtic,PC,Impressió borrosa,No,Baixa (puc treballar tranquilament)
12/11/2025 9:09:32,marta.lópez@gmail.com,Marta López,10/11/2025,14:00:00,Sala audiovisual,Switch,Soroll estrany,No,Alta (impossibilita el treball)
12/11/2025 9:10:58,joan.garcía@gmail.com,Joan García,10/11/2025,12:00:00,Laboratori informàtic,Televisor,Pantalla en negre,No,Mitjana (dificulta parcialment el treball)
12/11/2025 9:13:06,jordi.prats@gmail.com,Jordi Prats,19/10/2025,9:30:00,Sala audiovisual,PC,Pantalla en negre,Sí,Baixa (puc treballar tranquilament)
12/11/2025 9:14:37,clara.roca@gmail.com,Clara Roca,3/11/2025,8:30:00,Aula 102,Projector,Connexió inestable,No,Mitjana (dificulta parcialment el treball)
12/11/2025 9:16:45,laia.torres@gmail.com,Laia Torres,7/11/2025,13:00:00,Aula 102,Switch,Soroll estrany,Sí,Baixa (puc treballar tranquilament)
12/11/2025 9:19:02,oriol.puig@gmail.com,Oriol Puig,31/10/2025,10:45:00,Laboratori informàtic,Impressora,Impressió borrosa,Sí,Alta (impossibilita el treball)
12/11/2025 9:20:46,clara.roca@gmail.com,Clara Roca,1/11/2025,16:45:00,Aula 102,Televisor,No es detecta el dispositiu,No,Alta (impossibilita el treball)
12/11/2025 9:23:31,marta.lópez@gmail.com,Marta López,25/10/2025,10:00:00,Sala audiovisual,Projector,Connexió inestable,No,Alta (impossibilita el treball)
12/11/2025 9:24:42,laia.torres@gmail.com,Laia Torres,12/11/2025,12:00:00,Laboratori informàtic,Switch,No es detecta el dispositiu,Sí,Baixa (puc treballar tranquilament)
12/11/2025 9:30:00,anna.vidal@gmail.com,Anna Vidal,7/11/2025,17:15:00,Biblioteca,Switch,Connexió inestable,No,Baixa (puc treballar tranquilament)
12/11/2025 9:31:20,laia.torres@gmail.com,Laia Torres,10/11/2025,10:00:00,Sala audiovisual,Televisor,Pantalla en negre,Sí,Mitjana (dificulta parcialment el treball)
12/11/2025 9:32:31,laia.torres@gmail.com,Laia Torres,11/11/2025,11:45:00,Aula 101,Televisor,No es detecta el dispositiu,No,Baixa (puc treballar tranquilament)
12/11/2025 9:33:47,oriol.puig@gmail.com,Oriol Puig,6/11/2025,15:15:00,Laboratori informàtic,PC,Connexió inestable,Sí,Baixa (puc treballar tranquilament)
12/11/2025 9:34:47,nil.martí@gmail.com,Nil Martí,20/10/2025,9:15:00,Biblioteca,Switch,No arrenca l'equip,No,Alta (impossibilita el treball)
12/11/2025 9:36:31,jordi.prats@gmail.com,Jordi Prats,5/11/2025,16:30:00,Aula 101,Projector,No dona imatge,No,Alta (impossibilita el treball)
12/11/2025 9:37:27,anna.vidal@gmail.com,Anna Vidal,5/11/2025,15:15:00,Sala audiovisual,Impressora,Connexió inestable,No,Baixa (puc treballar tranquilament)
12/11/2025 9:38:35,marc.ferrer@gmail.com,Marc Ferrer,14/10/2025,9:45:00,Laboratori informàtic,Switch,Connexió inestable,No,Alta (impossibilita el treball)
12/11/2025 9:43:18,biel.delarosa@gmail.com,Biel De La Rosa,12/11/2025,9:42:00,Aula 101,PC,Soroll estrany,No,Mitjana (dificulta parcialment el treball)
12/11/2025 9:47:08,oriol.puig@gmail.com,Oriol Puig,11/12/2025,9:00:00,Aula 101,Projector,No dona imatge,Sí,Alta (impossibilita el treball)
