"Marca temporal","Correo","Nom i cognom","Data detecció de la incidència","Hora detecció de la incidència","Ubicació equip afectat","Tipus de equip (PC, impressora, projector, televisor, switch)","Com s’ha detectat el problema?","S’ha intentat alguna solució prèvia?","Grau de gravetat",""
"2025/11/12 9:05:51 a. m. CET","oriol.puig@exemple.com","Oriol Puig","2025-10-24","16:15","Aula 101","Impressora","No arrenca l'equip","No","Baixa (puc treballar tranquilament)","Cal substituir el component."
"2025/11/12 9:07:23 a. m. CET","emma.costa@gmail.com","Emma Costa","2025-10-11","18:00","Laboratori informàtic","PC","Impressió borrosa","No","Baixa (puc treballar tranquilament)","S'ha informat l'usuari."
"2025/11/12 9:09:31 a. m. CET","marta.lópez@gmail.com","Marta López","2025-11-10","14:00","Sala audiovisual","Switch","Soroll estrany","No","Alta (impossibilita el treball)","S'ha informat a l'usuari."
"2025/11/12 9:10:57 a. m. CET","joan.garcía@gmail.com","Joan García","2025-11-10","12:00","Laboratori informàtic","Televisor","Pantalla en negre","No","Mitjana (dificulta parcialment el treball)","No s'ha pogut reproduir el problema."
"2025/11/12 9:13:05 a. m. CET","jordi.prats@gmail.com","Jordi Prats","2025-10-19","09:30","Sala audiovisual","PC","Pantalla en negre","Sí","Baixa (puc treballar tranquilament)","S'ha informat a l'usuari."
"2025/11/12 9:14:36 a. m. CET","clara.roca@gmail.com","Clara Roca","2025-11-03","08:30","Aula 102","Projector","Connexió inestable","No","Mitjana (dificulta parcialment el treball)","."
"2025/11/12 9:16:45 a. m. CET","laia.torres@gmail.com","Laia Torres","2025-11-07","13:00","Aula 102","Switch","Soroll estrany","Sí","Baixa (puc treballar tranquilament)",""
"2025/11/12 9:19:01 a. m. CET","oriol.puig@gmail.com","Oriol Puig","2025-10-31","10:45","Laboratori informàtic","Impressora","Impressió borrosa","Sí","Alta (impossibilita el treball)",""
"2025/11/12 9:20:46 a. m. CET","clara.roca@gmail.com","Clara Roca","2025-11-01","16:45","Aula 102","Televisor","No es detecta el dispositiu","No","Alta (impossibilita el treball)",""
"2025/11/12 9:23:31 a. m. CET","marta.lópez@gmail.com","Marta López","2025-10-25","10:00","Sala audiovisual","Projector","Connexió inestable","No","Alta (impossibilita el treball)",""
"2025/11/12 9:24:41 a. m. CET","laia.torres@exemple.com","Laia Torres","2025-11-12","12:00","Laboratori informàtic","Switch","No es detecta el dispositiu","Sí","Baixa (puc treballar tranquilament)",""
"2025/11/12 9:30:00 a. m. CET","anna.vidal@exemple.com","Anna Vidal","2025-11-07","17:15","Biblioteca","Switch","No es detecta el dispositiu","No","Baixa (puc treballar tranquilament)",""
"2025/11/12 9:31:20 a. m. CET","laia.torres@gmail.com","Laia Torres","2025-11-10","10:00","Sala audiovisual","Televisor","Pantalla en negre","Sí","Mitjana (dificulta parcialment el treball)",""
"2025/11/12 9:32:30 a. m. CET","laia.torres@gmail.com","Laia Torres","2025-11-11","11:45","Aula 101","Televisor","No es detecta el dispositiu","No","Baixa (puc treballar tranquilament)",""
"2025/11/12 9:33:46 a. m. CET","oriol.puig@gmail.com","Oriol Puig","2025-11-06","15:15","Laboratori informàtic","PC","Connexió inestable","Sí","Baixa (puc treballar tranquilament)",""
"2025/11/12 9:34:47 a. m. CET","nil.martí@gmail.com","Nil Martí","2025-10-20","09:15","Biblioteca","Switch","Connexió inestable","No","Mitjana (dificulta parcialment el treball)",""
"2025/11/12 9:36:30 a. m. CET","jordi.prats@gmail.com","Jordi Prats","2025-11-05","16:30","Aula 101","Projector","Connexió inestable","No","Alta (impossibilita el treball)",""
"2025/11/12 9:37:27 a. m. CET","anna.vidal@gmail.com","Anna Vidal","2025-11-05","15:15","Sala audiovisual","Impressora","Connexió inestable","No","Baixa (puc treballar tranquilament)",""
"2025/11/12 9:38:35 a. m. CET","marc.ferrer@gmail.com","Marc Ferrer","2025-10-14","09:45","Laboratori informàtic","Switch","Connexió inestable","No","Alta (impossibilita el treball)",""
"2025/11/12 9:43:17 a. m. CET","biel.delarosa@gmail.com","Biel De La Rosa","2025-11-12","09:42","Aula 101","PC","Soroll estrany","No","Mitjana (dificulta parcialment el treball)",""
"2025/11/12 9:47:07 a. m. CET","oriol.puig@gmail.com","Oriol Puig","2025-12-11","09:00","Aula 101","Projector","No dona imatge","Sí","Alta (impossibilita el treball)",""
